UrlLength,PathLength,Hostlength,HostIsIp,PortInUrl,NumDigits,NumQueryParams,NumFragments,IsEncoded,NumEncodings,NumSubDirs,NumPeriods,HasClient,HasAdmin,HasServer,HasLogin,HasAtsign,Redirection,UrlShortened,UsesHttps,DashInDomain,NumHtmlTags,NumHiddenTags,NumScriptTags,NumIframes,NumEmbeds,NumHyperLinks,NumEvalFuncs,WebForwards,DomainAge,DomainIntendedLife_Span,LifeRemaining,AvgUpdateFrequency,NumUpdates,TTL,ClassLabel
138,7,16,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
105,10,9,0,0,22,3,0,1,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
89,7,12,0,0,2,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,6387,6725,337,0,0,6387,0
132,110,15,0,0,19,0,0,1,5,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
115,42,13,0,0,17,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
86,69,10,0,0,8,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
95,73,15,0,0,10,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
116,95,14,0,0,8,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
107,15,10,0,0,5,9,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,5827,6575,747,0,0,5827,0
120,98,15,0,0,30,0,0,1,22,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
135,118,10,0,0,36,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
89,74,7,0,0,7,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
105,73,11,0,0,8,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
86,72,7,0,0,8,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,0
